CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
-0.921495435,1.026070868,1.48914088,-0.559256707,-1.75315173,-1.348118485,-1.508073643,-0.954288759,-0.457683255,-0.172683795,-0.500743117,-0.892253679,-1.766947315,-0.746933059,-0.841353422,-0.173409478,-0.108237026,0.057615448,0.160773628,0.103272177,0.028180363,-0.247371036,-0.156573943,-0.052001219,-0.174098557,-0.10018876,-2.034764554,-2.5925746,-0.509320282,#DIV/0!,-0.58043508,-0.261905628,-4.8378586,-2.053071843,pre
#DIV/0!,-0.024994905,0.422961813,0.142390999,-0.102864315,-1.231536665,-1.239878509,2.461721273,-0.464369477,-0.177941179,0.004859312,-0.815317225,-1.861876321,-0.753926383,-0.655110254,0.080719262,-0.035636622,0.072300752,-0.014948643,0.148229548,0.017030733,-0.199060147,-0.148530518,-0.107527648,-0.181390306,1.232886269,-0.598079245,-6.04520011,-0.286170419,#DIV/0!,-0.285669667,-0.308561596,-7.105359258,0.262734988,pre
#DIV/0!,0.867709129,1.354616512,-0.225073955,-0.597842914,-1.726665971,-2.531632388,0.342388232,-0.767063682,-0.186625641,-0.152791605,-0.910036493,-1.980549742,-0.862741891,-1.253773701,-0.274949532,-0.26243233,0.074346769,0.063601468,0.163429544,0.026445937,-0.135832365,-0.144141249,-0.104065115,-0.153438621,0.788898411,0.306913535,-6.430857063,0.109797798,#DIV/0!,-0.934018718,-0.509616202,-3.495629854,-0.196826499,pre
0.200148105,-0.039335863,-0.479721458,0.406307731,-0.108603643,-0.991716687,-1.314994448,0.215251937,-0.334588251,-0.181798839,-0.29198302,-0.871238095,-1.920737971,-0.264905477,-1.058210606,0.095266017,-0.002403908,0.034627812,0.106024763,0.10472896,0.05848476,-0.20971395,-0.150234333,-0.08401872,-0.157541223,1.33278885,0.023843508,-5.83930564,-0.27260023,#DIV/0!,-0.133548059,-0.386119134,-3.124273252,-2.658448447,pre
-3.2791605,-1.103732926,-0.941274978,0.24158191,-0.046627864,-0.571823616,-0.116799741,3.738437498,-0.240210645,-0.151256256,0.51685853,-0.820876003,-1.97265351,0.068481828,-0.854323554,-0.046875377,-0.140650269,0.269509739,0.15989376,0.015586347,0.196374393,-0.267992272,-0.144123803,-0.056041492,-0.123764092,0.635633578,0.20136158,-4.608407023,-0.012165684,#DIV/0!,-0.595941954,-0.098471633,-3.294382718,0.510940654,pre
-5.169849875,1.112396574,-0.532331198,-0.001163628,1.227016648,-0.871983141,-0.672737944,0.389331769,-0.184893427,-0.153280074,-0.360195449,-0.884427554,-2.041902962,-0.463997812,-1.169483465,-0.059361149,-0.107699807,0.166988706,0.062035114,0.127749003,0.05317938,-0.224380403,-0.139488106,0.001442202,-0.12781834,0.777418358,-0.000251419,-7.16121769,0.000121171,#DIV/0!,1.256949188,0.317127951,-6.27761889,-1.567987981,pre
7.46083546,1.947508102,1.037562435,0.155409974,-0.181200583,-1.023115785,-1.234114507,1.022485046,-0.409858809,-0.146287874,0.010436255,-0.803322256,-1.994700958,-0.573829558,-0.814587453,0.173175936,0.104284682,0.148300935,0.201935327,0.156936832,0.120905396,-0.169439052,-0.146825539,-0.050686368,-0.178178299,-0.054567734,-1.114616621,-5.01805385,-0.207961978,#DIV/0!,-1.489072764,0.346346805,-6.27761889,1.455623043,pre
1.34855652,-0.881626398,-0.456344065,-0.267598924,-1.189489943,-1.404376391,-2.165091891,0.611571789,-0.626978933,-0.162227789,-0.14920596,-0.824476779,-2.012618195,0.170384255,-0.918785906,-0.068942293,-0.096489823,0.225350872,0.135621407,0.049395917,0.195933301,-0.226291216,-0.130573104,-0.101260519,-0.172691587,1.003733869,-0.887765352,-4.922500772,-0.667650694,#DIV/0!,-1.209762462,-0.334992535,-3.50235391,0.069847906,pre
-8.18218279,0.456898665,-0.833349356,-0.067071818,-0.38838665,-1.115273949,-1.005584429,0.629880641,-0.466398362,-0.142102543,-0.127081419,-0.907064963,-2.133866608,-0.284750111,-1.463919904,-0.179711352,-0.198578336,-0.017504996,-0.104321905,0.059548078,-0.018002451,-0.227038359,-0.131437941,-0.091180013,-0.120952517,1.222255065,1.348048699,-6.865210852,0.087142616,#DIV/0!,-0.035162607,-0.395507277,-3.810166211,-1.25439692,pre
#DIV/0!,0.343988562,-0.284164846,0.076113193,0.614015096,-1.277667922,-2.039055514,1.305380516,-0.497863402,-0.152511097,0.023832424,-0.859617455,-2.101984477,-0.270264043,-1.097634237,0.036720202,-0.117666762,0.04780859,-0.056208999,0.015819112,-0.003648188,-0.233205807,-0.137212163,-0.074500802,-0.147564161,1.220081552,0.498781656,-5.620210648,0.08434181,#DIV/0!,-0.215672869,0.0213437,-2.422533693,-0.898493271,pre
