CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
0.29435938,-0.266850671,0.305592126,-0.073326091,-0.336506575,0.177162701,0.110216603,-0.147099105,0.005559794,-0.137926228,-0.020748481,-0.077119804,0.031598323,-0.081520413,-0.152059661,-0.160286733,0.099213367,-0.118210525,-1.061099197,0.298039186,-0.349148475,-0.305012792,-0.276978452,-0.145653977,-0.069301136,-2.799554896,1.480012178,-2.095729505,#DIV/0!,#DIV/0!,0.315594387,-0.418755817,-4.903104114,-2.625527009,pre
-6.057582538,-1.524131986,0.372832738,0.16214977,0.876925609,0.231244088,0.127698368,-0.130198872,0.023970699,-0.135696074,-0.063047518,-0.084134028,0.063442192,-0.051603202,-0.142354503,-0.216371815,0.034115365,-0.050861657,-0.375747166,0.500033236,-0.288687158,-0.285285129,-0.244948878,-0.153431856,-0.034001051,-3.751299096,1.234388197,-3.491389519,#DIV/0!,#DIV/0!,0.319987212,-0.21752108,-2.356375626,-2.258784837,pre
-6.720591496,-2.008987011,0.512146536,0.113774785,-0.023553242,0.277738149,0.153451464,-0.111053151,0.030084004,-0.151282234,-0.004227651,-0.12196775,-0.032549376,-0.01508609,-0.1827277,-0.224784839,0.854548902,-0.17511861,-0.765584756,0.26760564,-0.362277829,-0.293507336,-0.162092851,-0.169565631,-0.02358899,-5.641991949,1.17460213,-6.758833277,#DIV/0!,#DIV/0!,1.062067398,0.229920882,-1.50006763,0.69303094,pre
-2.841741283,0.220544621,0.442151614,0.29409845,0.144688821,0.235128155,0.128410944,-0.122116997,0.018576741,-0.170920875,-0.007150281,-0.114464593,-0.018643014,0.132744912,-0.132463883,-0.195140875,1.182405458,-0.056907905,-0.974883066,-0.278162067,-0.256735788,-0.229706038,-0.126624015,-0.146777443,-0.026636255,-5.2176342,1.676085233,-1.410301376,#DIV/0!,#DIV/0!,0.568698132,0.024927983,-4.415695963,-3.694948032,pre
-2.00101646,-0.090798274,0.455340353,0.392903148,1.046655092,0.255785484,0.150721387,-0.132776946,0.044684712,-0.134928908,0.029110105,-0.074927613,0.046946474,-0.233893755,-0.111366515,-0.261435305,-0.19818143,-0.076576493,-1.854002606,0.602299488,-0.244595559,-0.187882658,-0.114681115,-0.13218512,0.005975086,-5.2176342,1.359947447,-7.74392891,#DIV/0!,#DIV/0!,-0.702959502,-0.055126574,-1.774424124,-0.692979992,pre
0.5423975,-0.73317157,0.558169669,0.12842268,0.501209083,0.230190902,0.139662513,-0.205409253,0.055431629,-0.117336032,-0.022435969,-0.04240719,-0.051678385,0.020840821,-0.14585602,-0.152915592,-0.185235349,-0.038259241,-0.516775091,-0.424968391,-0.251132875,-0.185787789,-0.194223949,-0.084249959,0.020618365,-2.692996253,0.532533672,-2.731343927,#DIV/0!,#DIV/0!,0.88076787,0.085658012,-4.959805788,-0.466400613,pre
-1.36516297,1.004970258,0.632568423,0.27321601,0.747497358,0.225294711,0.132512636,-0.215823343,0.075065626,-0.103174846,-0.02215507,-0.007152069,0.048307618,0.202785414,-0.138883061,-0.086713463,1.207679442,0.014548703,-0.786904343,-0.122348804,-0.169392765,-0.172036187,-0.20236926,-0.064658054,0.014417435,-1.500853469,1.140587278,-1.322991346,#DIV/0!,#DIV/0!,1.144543296,0.437461898,-2.630330115,-1.855418541,pre
4.47279072,-0.067430259,0.740252505,0.384637707,1.072776311,0.23282256,0.151402009,-0.179489646,0.096897096,-0.095812711,-0.033525756,-0.009524,0.039844244,0.226468605,-0.120704749,-0.145636078,0.360897415,0.032064467,-0.116741525,-0.303683456,-0.151128604,-0.175285112,-0.206499015,-0.046644365,0.021829905,-1.459489574,1.659391794,-0.707480146,#DIV/0!,#DIV/0!,-0.071142565,1.03489179,-1.039363385,0.730910248,pre
-2.318943205,-0.183806079,0.624459584,0.342861359,0.491333331,0.140208907,0.11059867,-0.151880708,0.041086515,-0.092409035,-0.052240659,-0.010623888,0.07867395,-0.172621217,-0.110487911,-0.16978583,-0.124430409,-0.106884279,-0.710092899,0.089936774,-0.294507121,-0.166427289,-0.20731983,-0.079544615,-0.015631648,-1.235818942,1.709861938,-1.109261614,#DIV/0!,#DIV/0!,-0.196873272,0.471275821,-3.072927595,-1.713031978,pre
-1.36516297,-0.827238891,0.5436224,0.094550812,-0.010346237,0.217856748,0.137367029,-0.141697556,0.054672085,-0.097876332,-0.04383015,-0.018828164,0.04815871,0.092954844,-0.111825367,-0.20087479,0.099653317,-0.02747322,0.522091609,0.91186111,-0.232700203,-0.184719918,-0.194643288,-0.060671536,0.023859334,-1.525580311,2.183094755,-0.719144764,#DIV/0!,#DIV/0!,0.407194716,0.273373724,0.46833535,-0.451080383,pre
-0.72930948,-1.395229949,0.586339163,0.1397983,0.472233649,0.255619469,0.163276363,-0.131506523,0.11699807,-0.095675749,-0.06028559,-0.030972313,0.004709095,0.201797258,-0.176743869,-0.16617248,0.977945853,-0.026807955,-0.256902107,0.069330449,-0.209440001,-0.183502352,-0.199681718,-0.069278004,-0.014564425,-1.115590173,1.698855938,-1.017209955,#DIV/0!,#DIV/0!,-0.141042206,0.336777781,-4.968909168,-2.184233218,pre
0.5423975,0.09526005,0.465814433,0.399546172,0.644373266,0.162399757,0.130519515,-0.145986999,0.079854618,-0.098701732,-0.054708942,-0.029519883,-0.026080997,-0.179372788,-0.176453591,-0.217644244,-0.458055774,-0.100415051,-0.395774317,0.616642434,-0.271687169,-0.193381235,-0.20840438,-0.058931632,-0.029649058,-1.842985021,0.737346623,-0.564227506,#DIV/0!,#DIV/0!,0.675368382,0.312503861,0.24759899,-1.80669102,pre
-1.36516297,-0.155334724,0.575849094,0.09305656,0.624901932,0.22810851,0.155575697,-0.136048642,0.102964414,-0.090397381,-0.059406585,-0.038025622,-0.102141462,0.049172449,-0.192425491,-0.139488999,0.426116508,0.027508975,-0.001803057,0.509260788,-0.187153655,-0.20117428,-0.256721481,-0.054065965,-0.022879109,-1.213883451,0.994889637,-0.649022059,#DIV/0!,#DIV/0!,0.182476198,0.301436159,-2.496746303,-1.259221202,pre
-3.27272344,0.572086109,0.268757187,0.085783297,0.448805513,0.236518759,0.178508605,-0.125617919,0.114670236,-0.092962783,-0.055937399,-0.024318139,0.052949251,0.415603373,-0.124072731,-0.079659549,1.463030875,0.029941168,-0.165361916,0.09913753,-0.140746897,-0.213155081,-0.260893331,-0.042764188,0.001027784,-2.182948685,1.434415285,-0.954704408,#DIV/0!,#DIV/0!,0.464723054,-0.117178377,-2.718922424,-1.139104082,pre
-2.001187323,-0.227341123,0.1558845,0.306999608,1.411815453,0.172673228,0.145028342,-0.106538473,0.052241052,-0.076032861,-0.043338319,-0.025635128,0.04958671,0.313966978,-0.141631663,-0.145913271,0.889211106,0.015087244,0.325212457,0.851018236,-0.180918762,-0.176872638,-0.200040392,-0.0365758,0.041310772,-2.038017106,3.252927164,0.730554898,#DIV/0!,#DIV/0!,-0.566971,-0.041605168,-0.410848008,-1.190270451,pre
0.5423975,-0.05839336,0.339710988,0.131326644,0.575817338,0.185144864,0.178749763,-0.026228474,0.085936002,-0.059015666,-0.051961784,0.018080679,0.028438505,-0.06953052,-0.085131532,-0.16101211,-0.027537304,0.001387481,-0.810445423,0.659516959,-0.166807293,-0.142445357,-0.183543663,-0.048360445,-0.011000686,-1.256383717,0.738645261,-0.672158853,#DIV/0!,#DIV/0!,0.382634083,0.078590877,0.088332723,-1.564015932,pre
-3.272851588,-0.252311057,0.203740398,0.146982988,0.784528629,0.197914198,0.169925059,-0.058729631,0.094810541,-0.062416631,-0.0317231,0.013488949,0.011732699,0.118567851,-0.040035779,-0.098149275,0.169631093,0.018263763,-0.215702892,0.071117915,-0.163442418,-0.164185718,-0.232014409,-0.041863292,-0.007770419,-1.338791254,0.259709483,-0.840921416,#DIV/0!,#DIV/0!,-0.679942566,-0.124268064,-7.32486272,0.957571167,pre
0.5423975,-0.210685853,0.198291722,0.371572267,0.70024961,0.227150091,0.173377023,-0.07906525,0.108709255,-0.070581815,-0.042541139,-0.001999833,0.018440798,0.072871611,-0.07186514,-0.117188742,-0.158687276,0.009831474,-0.154886813,0.105898294,-0.153572285,-0.170209718,-0.234142188,-0.018901682,0.010473498,-1.259985465,0.747619494,-0.603693499,#DIV/0!,#DIV/0!,1.226729407,-0.049843609,-0.143054205,-0.879931048,pre
